PANID,PANTYPE,PreTaxInc,FamSize,HH_Race,Type_Res_Poss,Male_Age,Male_Edu,Male_Occ,Male_Whc,Female_Age,Female_Edu,Female_Occ,Female_Whc,Dogs,Cats,Child_GC,Marital,TV_used,TV_hooked,Year,monetary,frequency,recency,loyality_All,loyality,CLUSTER,DISTANCE
3108613,5,8,2,1,2,6,5,1,3,5,6,10,4,0,0,8,2,2,3,1,3.99,1,11,0.1666666667,-0.876519178,4,1.1282841272
3109702,6,12,3,1,2,3,5,7,3,3,7,1,3,1,0,1,2,4,1,1,2.93,2,8,0.1428571429,-0.95194725,4,1.720416379
3111344,6,11,4,1,2,3,7,1,2,3,7,3,3,0,0,2,2,3,3,1,3.33,1,47,0.0714285714,-1.178231465,4,2.0817878029
3113027,6,1,1,1,1,7,9,11,5,1,6,4,3,1,0,8,1,1,1,1,4.58,1,32,0.3333333333,-0.348522676,4,0.7997619324
3114611,6,7,4,1,2,3,4,6,2,2,6,6,3,0,0,4,2,2,2,1,4.095,2,32,0.4,-0.137324075,4,1.023613959
3115535,6,5,3,1,1,2,6,1,3,3,6,13,1,1,2,2,2,2,2,1,2.88,1,18,0.3333333333,-0.348522676,4,1.4391466292
3115675,6,8,3,1,2,3,6,1,3,3,4,13,1,1,0,2,2,2,2,1,4.75,1,42,0.3333333333,-0.348522676,4,1.4068987566
3115857,6,9,3,1,2,2,4,6,3,2,7,4,3,0,2,1,2,2,2,1,2.2866666667,3,18,0.3333333333,-0.348522676,4,1.8397441185
3117333,6,11,6,1,2,3,6,2,3,3,3,4,3,0,1,3,2,4,4,1,5.29,1,15,0.0714285714,-1.178231465,4,0.8184727485
3117929,6,7,2,1,2,3,7,5,3,7,9,11,5,0,2,8,1,5,5,1,4.75,1,44,0.1666666667,-0.876519178,4,1.5286073137
3118315,6,11,4,1,2,2,5,2,3,2,5,1,3,0,0,4,2,2,2,1,4.99,1,6,0.3333333333,-0.348522676,4,1.2648516096
3121541,0,9,3,1,2,3,7,5,3,3,7,1,3,1,0,2,2,,,1,4.99,1,36,0.5,0.1794738262,4,1.2586727672
3121616,5,8,3,1,2,3,5,3,3,3,4,4,2,1,0,3,2,6,2,1,4.8766666667,3,33,0.25,-0.612520927,4,0.883852748
3127159,6,5,4,0,2,4,4,7,3,3,5,1,2,0,0,3,2,2,2,1,3.69,1,42,0.0833333333,-1.140517429,4,1.6749405098
