PANID,monetary,frequency,recency,loyality_tide,loyality_All,CLUSTER,DISTANCE
1116061,3.488125,16,2,0,0,6,5.3128918073
1116210,2.61625,8,6,0,0,7,5.1171735762
1116244,7.34,5,1,0,0,7,7.1536503423
1116400,2.99,1,26,0,1,5,7.1718200871
1116467,4.99,1,1,0,0,7,8.1685405361
1116533,5.31,5,8,1,0,7,1.1723951333
1116558,3.76,3,28,0,0,5,5.7821601111
1116566,5.2025,8,4,0,0.5,7,5.183336243
1116590,3.35,4,20,0,1,5,10.932600026
1116608,8.19,2,14,1,0,7,6.9855097478
1116657,7.862,5,6,0,0.5,7,2.6997631355
1116681,6.09,6,14,1,0,7,6.0941317968
1116699,6.82125,16,5,0.0625,0.3125,6,5.401075538
1116749,6.965,4,11,0,0,7,3.2066917896
1116772,6.5416666667,6,14,0.1666666667,0,7,6.054022143
1116798,1.77,1,25,0,0,5,8.626404768
1116814,9.09,2,16,1,0,7,9.0026218228
1116913,12.088,5,0,1,0,8,6.6554118795
1116921,2.99,1,36,0,0,4,6.2735936914
1117168,4.0794444444,18,1,0,0.0909090909,6,3.49531867
1117234,5.2233333333,3,6,0.3333333333,0,7,2.9842214601
1117259,5.748,5,7,0,0,7,1.1573485676
1117267,2.99,1,21,0,0,5,10.20357384
1117408,4.69,3,39,0,0,4,3.2340775512
1117531,6.54,2,34,0,0,5,5.8971576393
1117572,2.99,1,51,0,0,4,9.739332205
1117606,11.372857143,7,16,0.7142857143,0,7,9.7366687892
1117614,9.0777777778,9,1,0.2222222222,0,7,8.6419277679
1117622,5.1476923077,26,1,0,0.3076923077,6,5.8573831941
1117630,7.14,2,1,0,0.5,7,7.7165529016
1117655,10.343333333,9,1,0.7777777778,0,7,9.1643312333
1117747,6.99,1,18,0,0,7,10.736111349
1117846,4.6757142857,7,2,0,0,7,6.5666767216
1117853,5.33,10,2,0,1,7,7.9812453421
1117911,3.95,3,16,0,0,7,8.4799504408
1117937,5.365,4,7,0,0,7,1.6412724649
1117978,6.59,3,3,0,0,7,5.4353738957
1118042,8.49,1,51,0,0,4,9.7762480019
1118083,6.36375,8,2,0,0,7,6.786644363
1118117,11.855882353,17,3,0.4117647059,0.1176470588,6,6.4370216218
1118141,12.323333333,3,38,0.6666666667,0,4,7.7616160107
1118208,9.585,2,16,0,0,7,9.1436472412
1118224,7.1028571429,7,6,0,0.2857142857,7,3.0641828054
1118307,14.223333333,3,13,1,0,7,9.6884681483
1118331,4.99,2,14,0,0,7,6.7442119569
1118356,6.5677272727,22,1,0,0.375,6,1.862204633
1118430,7.6042857143,14,0,0,0,6,6.7270811557
1118695,5.91,3,9,1,0,7,2.3205917288
1118950,1.59,1,16,0,0,7,9.9852650663
1118968,8.49,1,51,0,0,4,9.7762480019
1118976,8.49,1,5,0,0,7,5.5086243548
1118992,5.73875,8,0,0,0,7,8.6259326518
1119008,5.71,5,2,1,0,7,6.1217153526
1119057,8.782,5,2,0,0,7,6.5987292173
1119115,7.25,5,4,0,0,7,4.2022855955
1119198,14.99,2,26,1,0,5,6.3158534557
1119214,8.1475,8,4,0,0.125,7,5.452821057
1119230,5.66,3,5,0.3333333333,0,7,3.6577510018
1119487,15.27,2,4,0,0,8,3.0940367538
1119495,2.8566666667,3,2,0,0,7,7.1694002671
1119552,4.99,7,4,0,0.5714285714,7,4.7190816727
1119560,7.8125,8,4,0,0.625,7,5.3641535909
1119610,4.6566666667,6,6,0,0.6666666667,7,2.8178478382
1119644,7.89,5,0,0,0,7,8.2386488224
1119693,2.99,1,35,1,0,4,7.2360112575
1119743,8.183125,16,3,0.2666666667,0,6,4.8252766475
1119784,13.428,5,12,1,0,7,8.3068415769
1119842,6.8566666667,3,29,0.6666666667,0,5,2.7249993759
1119933,2.99,1,37,0,0,4,5.3905242854
1119958,5.2471428571,7,5,0,0.4285714286,7,3.8103793813
1120022,4.765,8,10,0,0.375,7,3.8981343273
1120030,4.57,5,0,1,0,7,8.2472306948
1120147,7.3171428571,7,4,0,0.7142857143,7,4.7301020507
1120188,7.745,2,12,0.5,0,7,5.1824758279
1120196,4.6263636364,11,0,0.0909090909,0,6,9.732739417
1120261,13.58,1,0,1,0,8,6.1493665195
1120303,8.515,4,21,0.3333333333,0,5,8.1263203737
1120337,17.97,1,29,0,0,5,8.6473588511
1120535,5.7233333333,9,8,0.2222222222,0.3333333333,7,4.0852117712
1120550,6.5436363636,11,3,0,0.1818181818,7,7.8981882817
1120600,6.34,2,26,0.5,0,5,4.1919618552
1120618,12.09,10,0,1,0,8,8.9270788065
1120626,14.775,2,12,0,1,8,9.1458844998
1120634,7.39,10,3,1,0,7,7.2954297157
1120709,7.067,10,4,0,0.1,7,6.5448252357
1120725,4.8614285714,7,10,0,0.4,7,3.1365494381
1120774,8.9833333333,3,12,0,0,7,5.2323472313
1120782,7.2054545455,11,7,0,0.0909090909,7,6.2372496279
1120816,1.77,1,11,0,0,7,6.6038770079
1120832,3.49,2,26,0,0,5,6.5719888238
1120857,5.7441666667,12,2,0.0833333333,0,6,8.4061326598
1120873,6.27,5,12,0,1,7,4.0526994414
1120881,6.4132432432,37,1,0.3513513514,0.1081081081,10,10.554383979
1120923,5.19,1,13,0,0,7,6.4068966977
1120949,8.7233333333,3,9,0.5,0,7,3.3663282244
1120964,7.99,3,12,0,0,7,4.7709592607
1120998,8.9733333333,3,15,0,0,7,7.7465686413
1121004,5.2122222222,9,5,0.1111111111,0.3333333333,7,5.1692574343
1121111,6.54,10,8,0,0.6,7,5.0967960392
1121202,4.21,5,9,0,0,7,2.1851806247
1121228,5.682,5,6,0.2,0.2,7,2.110076316
1121244,6.99,2,12,0,0,7,4.9998380332
1121335,6.8436363636,11,4,0,0.1818181818,7,7.3208967621
1121368,3.93,5,6,0.2,0,7,3.035759437
1121483,6.8525,8,0,0.25,0.25,7,8.640795917
1121517,5.09,2,1,0,0,7,7.7208149414
1121590,4.9566666667,3,6,0,0,7,3.0831673699
1121681,7.2875,4,11,0,0,7,3.3020995451
1121715,14.96,2,10,0,0,8,7.2137865853
1121723,7.27,11,9,0,0.2,7,6.2321960925
1121749,5.682173913,23,3,0,0,6,2.9947957449
1121798,6.39,3,1,0,0,7,7.32260675
1121855,7.14,6,9,0.6666666667,0,7,1.7859858165
1121905,4.170952381,21,3,0.9473684211,0,6,2.7851884822
1121947,3.74,2,9,0,0,7,3.9370432593
1121962,4.0365517241,29,1,0.1428571429,0.2142857143,6,9.0154972695
1121996,15.975,2,23,0,0,5,8.8083870068
1122002,3.69,2,34,0,0,5,7.6946331272
1122044,10.635,2,6,0,0,7,5.7387658997
1122119,5.79,1,2,0,1,7,7.2903677841
1122176,4.59,2,26,0,1,5,5.6794059723
1122184,6.2183333333,12,6,0.4166666667,0.25,7,7.3520120107
1122218,17.97,1,29,0,0,5,8.6473588511
1122226,5.99,2,15,0,0,7,7.5520525585
1122242,5.408,5,10,0.25,0,7,2.0938109701
1122283,5.19,2,9,0,0,7,3.2518808355
1122317,6.4427272727,11,4,0.2727272727,0.0909090909,7,7.2916449965
1122325,5.9566666667,9,1,0.1111111111,0.1111111111,7,8.1380674474
1122424,4.5625,4,10,0,0.5,7,2.7277203438
1122465,3.74,6,5,0,0,7,4.0445748305
1122473,4.99,1,19,0,0,5,10.857404036
1122523,7.8233333333,3,4,0.6666666667,0,7,4.8144703429
1122572,5.5066666667,9,8,0,0.7777777778,7,4.1664921966
1122713,6.5566666667,6,19,0.1666666667,0,5,10.969319295
1122747,5.93875,8,2,0.125,0,7,6.784722448
1122754,5.7585714286,7,2,0,0,7,6.4087249721
1122804,6.3233333333,6,14,0,0.6666666667,7,6.0715555643
1122820,6.25,5,11,0.2,0,7,2.9521486792
1122861,5.89,2,19,0,0,5,10.465631649
1122911,2.49,4,4,0,0,7,5.555400301
1122945,6.3525,8,8,0,0.25,7,3.07155846
1123109,9.985,2,16,0,0.5,7,9.307870932
1123158,6.0757142857,7,2,0.1428571429,0.2857142857,7,6.3946169792
1123265,3.1766666667,3,30,0,0.3333333333,5,6.4034603395
1123323,5.7990909091,11,6,0,1,7,6.4678602241
1123422,7.6457142857,7,13,0,0,7,5.5643008719
1123430,5.8328571429,7,4,0,0.7142857143,7,4.599155062
1123448,5.98,1,10,0,0,7,4.4097809202
1123455,11.99,1,0,1,0,8,7.2830762915
1123489,5.79,1,26,0,1,5,4.8345325618
1123513,7.315,4,1,0,0,7,7.2115107944
1123521,5.49,2,6,0,0,7,3.6595734731
1123539,5.899,10,6,0,1,7,5.537125864
1123604,5.17,5,6,0,0,7,2.2929838556
1123661,5.98,4,4,0,0,7,4.1715356171
1123752,5.2488888889,18,2,0.2777777778,0.5,6,2.7080412594
1123760,4.25,6,12,0,0.5,7,4.5334405213
1123786,7.04,8,1,0.25,0,7,7.736211654
1123802,4.14,2,11,0,0.5,7,4.652590273
1123810,11.559333333,15,7,0.1333333333,0.4666666667,6,9.0050547466
1123836,13.556666667,3,0,1,0,8,5.492695074
1124032,5.985,2,43,0,0,4,1.5052807433
1124073,5.57,5,12,0.4,0.2,7,3.9982229828
1124099,4.789,10,5,0,0,7,6.0677038551
1124107,9.34,2,14,1,0,7,7.4014087465
1124180,4.505,4,11,0.25,0.5,7,3.5330201668
1124206,4.93,9,3,0,0.375,7,6.6029854981
1124263,8.15,5,0,0,0,7,8.2970312072
1124354,7.7575,12,0,0.4545454545,0,6,8.6681786853
1124420,7.44,10,3,0.3,0,7,7.2615568709
1124537,7.7325,4,0,0.5,0,7,8.263610639
1124578,5.09,5,3,0,0,7,5.1705866037
1124610,9.885,4,17,0,0,7,9.7399436597
1124628,8.45,5,18,0.6,0.2,7,10.215416539
1124669,6.4383333333,6,1,0,0,7,7.139795186
1124677,9.165,12,2,0.8,0.1,6,8.8070237805
1124693,4.3555555556,9,18,0,0.25,7,10.896719374
1124727,9.7642105263,19,0,0.1111111111,0.1111111111,6,3.9947694013
1124735,6.0233333333,9,7,0.7777777778,0,7,4.23198901
1124743,8.98,2,10,0,0,7,4.5228238213
1124792,5.49,1,15,0,0,7,8.0216176578
1124925,4.7614285714,7,14,0.3333333333,0.3333333333,7,6.4522450646
1124941,5.1695,20,2,0,0.3076923077,6,1.4084847768
1124982,6.4275,4,18,0,0.3333333333,7,10.000780401
1126268,4.9344444444,9,5,0.1428571429,0.5714285714,7,5.2422679111
1126318,4.615,8,5,0,0,7,4.5939498885
1126334,2.99,3,2,0,0,7,7.1088861379
1126375,8.99,2,17,0.5,0,7,9.8400381484
1126458,5.23875,16,0,0,0,6,4.9134298943
1126482,6.1875,4,12,0,0.6666666667,7,4.1018838842
1126490,10.78,2,10,0,0,7,5.8168222767
1126516,7.3826666667,15,5,0.6,0.2,6,6.3029667627
1126599,5.99,1,47,0,1,4,5.4527866888
1126607,6.5873333333,15,2,0,0,6,5.3768248399
1126698,7.6311111111,9,4,0.1111111111,0.4444444444,7,5.9274485422
1126730,8.7073333333,15,6,0.2,0.2,6,7.1380179376
1126748,7.6813043478,23,4,0,0.2173913043,6,3.6042209657
1126763,13.721666667,12,5,1,0,8,9.0413056901
1126771,5.99,2,7,0,0.5,7,3.161963679
1126797,11.97,1,43,0,0,4,6.4562426064
1126813,3.7375,4,3,0,0,7,5.6883522051
