PANID,PANTYPE,PreTaxInc,FamSize,HH_Race,Type_Res_Poss,Male_Age,Male_Edu,Male_Occ,Male_Whc,Female_Age,Female_Edu,Female_Occ,Female_Whc,Dogs,Cats,Child_GC,Marital,TV_used,TV_hooked,Year,monetary,frequency,recency,loyality_tide,loyality_All,CLUSTER,DISTANCE
3117614,6,9,2,1,2,3,7,1,3,2,7,1,3,0,0,8,2,4,3,1,2.78,1,27,0,0,5,6.9717490833
3117622,9,6,1,1,1,7,9,11,5,2,7,3,3,0,0,8,1,2,2,1,4,2,33,0,1,5,6.8796127874
3117671,6,7,4,3,1,3,5,6,3,2,6,3,2,0,0,2,2,2,2,1,5.584,5,21,0,0,5,9.2024905109
3117754,6,4,3,1,2,3,4,13,1,7,9,11,5,0,0,8,1,2,2,1,7.29,2,31,1,0,5,3.0942398022
3118273,6,11,4,1,2,3,6,7,3,3,5,3,3,0,0,6,2,4,2,1,4.48,2,23,0,0,5,7.6543656373
3118547,0,7,3,1,1,2,6,8,3,1,6,2,3,1,2,8,1,,,1,3.19,1,19,0,0,5,11.704839653
3118554,5,11,2,1,2,3,4,6,3,3,6,4,3,1,0,8,2,3,3,1,6.88,1,34,1,0,5,5.8800587798
3118646,6,9,3,1,2,3,5,5,3,3,5,4,3,0,0,2,2,2,2,1,6.88,2,33,1,0,5,4.9049709617
3118760,0,5,4,1,1,3,7,7,3,2,7,3,2,0,0,2,2,,,1,5.24,2,19,0,0,5,10.701233943
3119412,6,8,3,1,2,7,9,11,5,3,8,1,3,0,2,2,3,3,3,1,4.99,1,22,0,1,5,8.2837255343
3119495,9,10,4,1,2,3,5,2,3,3,8,13,1,0,0,2,2,2,1,1,8.245,4,20,0.75,0,5,9.1377948616
3119586,6,6,4,1,1,4,6,6,3,3,4,13,1,0,0,3,2,2,1,1,4.065,2,26,0,0,5,6.0600221704
3119768,6,1,3,3,1,3,4,7,3,3,4,7,3,0,1,2,1,2,2,1,7.1,1,25,0,0,5,4.6342173033
3120188,6,9,5,1,2,3,7,1,3,3,7,13,1,1,1,6,2,3,2,1,6.59,1,34,1,0,5,6.0101117772
3120238,6,5,3,1,1,2,4,5,3,3,6,8,2,0,1,3,1,3,1,1,4.49,3,34,0,0,5,7.1753625208
3120402,6,9,5,1,2,3,5,7,3,3,5,4,3,1,0,3,2,4,4,1,4.134,5,24,0,0,5,7.7288932008
3120485,6,8,4,1,2,4,3,7,3,3,4,9,2,1,2,2,2,2,2,1,5.24,2,19,0,0,5,10.701233943
3120881,0,3,4,1,1,7,9,11,5,2,6,13,1,0,0,4,5,,,1,4.4475,4,21,0,0,5,9.4803765973
3120956,6,11,2,1,1,7,9,11,5,2,7,7,3,0,0,8,1,3,3,1,4.48,1,27,0,0,5,5.3836290112
3121244,9,4,2,1,2,3,6,6,3,2,5,1,3,0,3,8,1,1,1,1,5.19,1,25,0,1,5,5.8969022167
3121574,6,11,4,1,2,2,5,7,3,3,5,4,3,1,1,4,2,3,1,1,5.49,1,22,1,0,5,8.0002956375
3121780,6,12,3,1,2,4,6,2,3,3,7,13,1,1,1,2,2,2,2,1,20.98,1,21,0,0,5,14.038545249
3122077,6,10,5,1,1,1,4,6,3,1,7,4,3,1,1,2,2,3,3,1,3.2125,4,33,0,0,5,7.6908651023
3122267,6,8,4,1,2,3,5,1,3,2,7,1,2,1,0,2,2,2,2,1,6.58,1,22,1,0,5,7.5277206683
3123000,6,7,1,0,1,0,0,0,0,7,9,11,5,0,0,8,1,,,1,3.73,1,19,0,0,5,11.427460638
3126581,6,4,2,1,1,1,7,1,6,1,7,2,6,0,0,8,1,2,2,1,3.88,2,21,0,0,5,9.6056996104
3126870,6,10,1,0,2,0,0,0,0,7,9,11,5,0,0,8,2,,,1,11.59,2,18,1,0,5,11.095263
3127142,6,7,5,0,2,3,4,3,3,3,7,1,2,1,1,6,2,2,2,1,14.6725,4,19,1,0,5,11.355447073
3127506,0,11,3,1,2,3,4,0,3,3,5,0,3,0,2,3,1,,,1,6.58,1,21,1,0,5,8.4483122275
3127597,6,2,1,0,1,0,0,0,0,7,9,11,5,0,0,8,2,,,1,13.76,1,35,1,0,5,7.6492754213
3127795,6,0,1,0,0,0,0,0,0,7,9,11,5,0,0,8,0,,,1,4.78,2,21,0,0,5,9.1181928341
3128066,6,6,1,1,1,7,9,11,5,5,5,4,3,0,0,8,3,1,1,1,10,1,35,0,0,5,6.2821522171
3128157,6,9,3,3,2,3,8,3,2,3,8,3,3,0,0,2,2,2,2,1,5.49,1,20,1,0,5,9.7682921922
3128355,6,5,2,1,2,7,9,11,5,3,6,4,3,0,0,2,3,3,3,1,5.7733333333,3,22,0,0,5,7.8112972099
3128603,6,10,4,1,2,3,5,3,3,3,4,13,1,0,1,6,2,5,5,1,7.99,4,19,1,0,5,10.156281479
3128686,5,6,4,1,1,3,4,7,3,2,4,13,1,0,0,6,2,3,3,1,6.88,1,34,1,0,5,5.8800587798
3128801,6,6,1,0,2,0,0,0,0,7,9,11,5,0,0,8,2,,,1,6.4066666667,3,29,0,0,5,3.1417297142
3129148,6,6,3,5,1,7,9,11,5,4,5,3,3,0,0,3,3,3,3,1,3.985,2,28,0,0,5,5.492653875
3129189,6,5,1,1,2,7,9,11,5,6,4,10,4,0,0,8,4,4,3,1,6.58,1,25,1,0,5,4.9542280289
3129312,5,9,2,1,2,4,4,3,3,4,6,4,3,0,0,8,2,4,4,1,2.49,1,21,0,0,5,10.524924883
3129601,6,3,2,1,2,6,4,10,4,6,4,10,4,0,0,8,2,2,1,1,5.28,2,33,1,0,5,5.8895109429
3129692,6,10,2,1,2,6,8,10,4,5,8,10,4,0,0,8,2,4,4,1,3.55,1,25,0,0,5,7.1004545855
3130047,6,4,1,0,1,0,0,0,0,7,9,11,5,0,0,8,4,,,1,4.34,2,25,0,0,5,6.3696174263
3130138,6,1,1,0,1,0,0,0,0,7,9,11,5,0,0,8,3,,,1,3.98,1,33,1,0,5,6.950900337
3130153,6,6,1,0,2,0,0,0,0,7,9,11,5,0,0,8,4,,,1,8.485,2,29,0,0,5,0.9832208999
3130187,5,5,1,1,1,7,9,11,5,5,6,10,4,0,0,8,3,2,2,1,6.08,2,25,0,0,5,5.0977359909
3130203,6,9,4,1,2,2,7,1,3,2,5,13,1,0,0,4,2,2,2,1,3.53,1,21,0,0,5,9.8732215836
3130245,6,6,1,0,1,0,0,0,0,7,9,11,5,0,0,8,2,,,1,3.775,2,32,0,0.5,5,6.468234654
3130518,6,2,1,3,2,7,9,11,5,5,4,10,4,1,1,8,3,3,2,1,4.1,4,21,0,0,5,9.6664919096
3130526,5,6,2,1,2,5,4,13,1,5,3,13,1,1,0,8,2,1,2,1,7,1,25,0,0,5,4.6846766113
3130575,6,4,1,1,2,7,9,11,5,6,6,10,4,0,1,8,4,1,1,1,12.58,1,24,1,0,5,5.9496453762
3130583,6,5,1,1,2,7,9,11,5,5,4,10,4,0,0,8,2,2,2,1,2.78,1,26,0,0,5,7.3015536917
3130765,6,6,2,1,1,6,6,10,4,6,6,10,4,0,0,8,2,1,1,1,8.39,1,30,0,0,5,1.914722734
3130781,6,6,1,0,2,0,0,0,0,7,9,11,5,0,0,8,2,,,1,9.0166666667,3,20,0,0,5,8.9116835673
3130914,6,8,2,1,2,2,6,7,3,2,5,3,3,2,0,8,2,3,3,1,6.88,1,31,1,0,5,3.5633263044
3130948,5,3,2,1,1,7,9,11,5,3,4,3,2,0,2,3,3,2,1,1,5.14,2,19,0,1,5,10.780432378
3131029,6,6,2,1,2,6,4,10,4,6,6,10,4,0,0,8,2,1,1,1,5,1,34,0,0,5,6.8690672164
3131144,6,9,2,1,2,5,5,1,3,5,6,1,3,0,0,8,2,2,2,1,8.88,1,29,0,0,5,1.2738767537
3131292,6,4,1,0,2,0,0,0,0,7,9,11,5,0,0,8,3,,,1,3.53,1,22,0,0,5,9.0979724888
3131334,6,4,1,0,2,0,0,0,0,7,9,11,5,0,0,8,2,,,1,4.785,2,23,0.5,0,5,7.458744538
3131359,6,2,1,0,1,0,0,0,0,7,9,11,5,0,0,8,4,,,1,3.98,1,30,0,0,5,5.6597157988
3131375,6,5,1,1,1,7,9,11,5,5,4,13,1,0,0,8,4,,1,1,3.865,2,19,0,0,5,11.307082993
3131409,6,7,2,1,2,6,6,10,4,6,6,10,4,0,0,8,2,2,1,1,3.6666666667,3,23,0,0,5,8.2481574771
3131581,6,12,2,1,2,6,7,10,4,6,8,10,4,0,0,8,2,5,4,1,4.1183333333,6,20,0.3333333333,0,5,11.019058358
3131664,0,5,1,0,1,0,0,0,0,7,9,11,5,0,0,8,4,,,1,2.69,1,24,0,0,5,8.3622599112
3131748,6,6,2,1,2,6,4,10,4,6,4,3,2,0,2,8,2,2,2,1,5.44,1,30,1,0,5,4.3288721966
3131839,6,8,1,0,2,0,0,0,0,7,9,11,5,0,0,8,2,,,1,5.85,1,24,0,0,5,6.123616805
3131920,6,7,4,1,2,6,3,10,4,6,4,10,4,1,4,8,2,3,3,1,5.39,1,25,0,0,5,5.6806616215
3131938,6,2,1,1,1,7,9,11,5,5,4,13,1,0,1,8,3,2,1,1,6.3466666667,3,33,0.3333333333,0,5,5.2265207768
3131995,6,8,2,1,2,6,4,10,4,6,4,10,4,0,0,8,2,3,3,1,13.16,1,21,1,0,5,8.8059286029
3132118,6,8,1,0,2,0,0,0,0,7,9,11,5,0,0,8,2,,,1,4.385,2,24,0,0,5,6.9875568669
3132126,0,6,1,0,1,0,0,0,0,7,9,11,5,0,0,8,3,,,1,6.29,1,29,1,0,5,3.3815859523
3132191,5,2,1,1,2,7,9,11,5,5,5,13,1,1,1,8,3,1,1,1,6.28,4,26,0.6666666667,0,5,4.6466359062
3132340,0,3,1,1,1,7,9,11,5,4,4,1,3,2,4,8,1,,,1,4.4616666667,6,23,0,0,5,8.5950614921
3132373,6,9,2,0,2,5,7,1,3,5,7,0,3,0,0,8,2,2,1,1,19.77,1,27,1,0,5,10.615291044
3132381,6,6,1,1,1,7,9,11,5,6,4,10,4,0,0,8,4,1,1,1,4.49,1,24,0,0,5,7.0005244043
3132431,6,10,5,0,2,5,7,3,3,4,8,1,3,1,1,3,2,2,2,1,14.63,2,22,0,0,5,8.6267249355
3132589,6,6,3,1,2,5,7,1,3,5,8,1,2,0,0,8,2,2,1,1,10.49,2,26,0.5,0,5,3.0639368889
3132688,6,8,1,0,1,0,0,0,0,7,9,11,5,0,0,8,4,,,1,6.58,1,21,1,0,5,8.4483122275
3132712,6,7,1,0,2,0,0,0,0,7,9,11,5,0,0,8,1,,,1,13.98,1,25,0,0,5,6.0948252038
3133017,6,9,2,1,2,5,5,2,3,5,4,2,3,1,0,8,2,2,1,1,6.73,4,25,1,0,5,5.1038496746
3133066,6,5,2,1,2,6,4,10,4,6,4,10,4,0,1,8,2,2,2,1,3.735,2,19,0,0,5,11.371298001
3133124,6,9,2,1,2,5,7,10,4,5,8,10,4,0,0,8,2,1,1,1,2.49,2,21,0,0,5,10.46662752
3133132,6,5,1,0,2,0,0,0,0,7,9,11,5,0,0,8,4,,,1,5.12,3,25,0.3333333333,0,5,5.8287256317
3133389,6,12,2,1,2,6,5,3,3,6,5,3,2,0,0,8,2,4,4,1,6.88,2,29,1,0,5,2.6245655385
3133629,6,6,2,3,1,7,9,11,5,4,7,3,3,0,0,8,3,2,1,1,4.99,1,27,0,0,5,4.9217897299
3133876,6,1,1,1,1,7,9,11,5,6,7,5,3,0,0,8,4,2,2,1,3.53,1,19,0,0,5,11.528022662
3133926,6,10,2,1,2,6,8,1,2,4,8,2,2,2,0,8,3,2,2,1,4.035,2,20,0,0,5,10.358056883
3134072,6,4,1,1,2,7,9,11,5,6,4,1,2,1,0,8,4,1,1,1,6,1,28,0,0,5,3.6913738956
3134403,6,11,2,1,2,4,8,2,3,4,7,1,2,0,0,8,2,2,2,1,5.762,5,30,1,0,5,4.8370285908
3134429,6,10,2,1,2,3,7,3,3,3,7,1,2,0,1,8,3,2,2,1,5.49,4,19,0,0,5,10.772689602
3134478,6,10,2,1,2,5,6,3,2,5,4,7,3,0,0,8,2,4,4,1,12.58,1,30,1,0,5,3.6268269749
3134551,0,6,3,1,1,3,4,7,3,3,4,4,3,0,1,8,3,,,1,2.69,1,29,0,0,5,6.8110487929
3134866,6,5,1,1,1,7,9,11,5,2,6,1,3,0,0,8,1,2,1,1,4.48,1,27,0,0,5,5.3836290112
3134874,6,9,2,1,2,4,6,1,3,3,4,1,2,0,0,8,2,4,5,1,2.83,2,29,0,0,5,6.5808144324
3135038,6,11,2,1,2,6,5,10,4,6,8,10,4,0,0,8,2,4,3,1,6.9,1,26,0,0,5,3.9659827103
3135152,0,7,1,1,1,7,9,11,5,5,4,10,4,0,0,8,3,,,1,6.59,2,34,0,0,5,5.8730618721
3135368,6,11,5,1,2,3,8,1,3,3,7,1,3,1,0,3,2,4,3,1,9.38,1,33,0,0,5,4.3037231744
3135418,6,7,1,1,1,6,8,10,4,7,9,11,5,0,0,8,3,1,1,1,2.99,1,32,0,0,5,7.2340519591
